person_a,person_b,date,time
103,72,23/04/2004,08:07:47
38,86,23/04/2004,08:16:00
38,101,23/04/2004,08:19:26
38,101,23/04/2004,08:32:01
38,101,23/04/2004,08:32:43
103,101,23/04/2004,08:34:18
38,101,23/04/2004,08:36:08
103,101,23/04/2004,08:36:15
38,61,23/04/2004,08:52:13
75,120,23/04/2004,08:52:17
38,81,23/04/2004,08:54:04
44,141,23/04/2004,08:56:26
44,141,23/04/2004,08:58:02
44,74,23/04/2004,09:05:57
44,127,23/04/2004,09:08:04
124,135,23/04/2004,09:44:07
140,124,23/04/2004,09:50:12
19,82,23/04/2004,09:51:44
19,82,23/04/2004,09:56:39
19,82,23/04/2004,09:58:43
105,56,23/04/2004,10:02:06
19,82,23/04/2004,10:03:04
124,135,23/04/2004,10:04:11
105,58,23/04/2004,10:05:15
105,63,23/04/2004,10:05:29
19,82,23/04/2004,10:05:32
105,61,23/04/2004,10:06:51
105,135,23/04/2004,10:09:55
124,135,23/04/2004,10:15:13
71,72,23/04/2004,10:30:14
135,124,23/04/2004,10:34:06
9,32,23/04/2004,10:36:21
63,105,23/04/2004,10:36:47
72,71,23/04/2004,10:40:42
142,58,23/04/2004,10:42:24
124,135,23/04/2004,10:43:50
124,135,23/04/2004,10:46:59
143,32,23/04/2004,10:49:32
144,99,23/04/2004,10:54:41
144,105,23/04/2004,10:57:02
144,121,23/04/2004,10:59:16
9,109,23/04/2004,11:01:00
103,109,23/04/2004,11:21:23
103,63,23/04/2004,11:24:25
103,63,23/04/2004,11:36:16
103,109,23/04/2004,11:38:34
48,81,23/04/2004,11:38:37
95,81,23/04/2004,11:41:39
145,48,23/04/2004,11:42:21
95,63,23/04/2004,11:42:31
145,95,23/04/2004,11:44:41
95,109,23/04/2004,11:44:45
145,95,23/04/2004,11:46:53
145,48,23/04/2004,11:49:09
145,95,23/04/2004,11:51:51
145,48,23/04/2004,11:55:14
145,48,23/04/2004,11:57:36
95,109,23/04/2004,11:58:47
96,48,23/04/2004,12:02:19
95,109,23/04/2004,12:04:32
96,95,23/04/2004,12:09:00
96,95,23/04/2004,12:11:48
96,48,23/04/2004,12:12:38
96,95,23/04/2004,12:15:27
105,144,23/04/2004,12:35:54
105,63,23/04/2004,12:36:08
6,146,23/04/2004,12:50:36
44,60,23/04/2004,18:33:23
44,105,23/04/2004,18:34:05
63,95,23/04/2004,18:41:08
44,32,23/04/2004,19:15:10
114,105,23/04/2004,19:38:01
34,109,23/04/2004,19:40:59
36,105,23/04/2004,19:43:35
36,109,23/04/2004,19:44:53
36,147,23/04/2004,19:53:05
44,32,23/04/2004,20:03:13
19,120,23/04/2004,20:19:19
9,136,23/04/2004,20:37:31
9,148,23/04/2004,20:37:51
9,149,23/04/2004,20:38:49
9,150,23/04/2004,20:39:36
9,151,23/04/2004,20:41:02
9,152,23/04/2004,20:42:34
9,153,23/04/2004,20:42:54
9,58,23/04/2004,20:43:11
9,58,23/04/2004,20:43:20
9,135,23/04/2004,20:43:43
9,22,23/04/2004,20:44:04
9,8,23/04/2004,20:45:42
9,154,23/04/2004,20:47:17
9,121,23/04/2004,20:49:17
1,135,23/04/2004,20:59:53
3,155,23/04/2004,21:03:57
36,109,23/04/2004,21:06:10
3,155,23/04/2004,21:07:10
30,132,23/04/2004,21:14:44
3,58,23/04/2004,21:23:21
68,56,23/04/2004,21:52:45
36,156,23/04/2004,22:44:30
131,30,23/04/2004,22:58:54
101,51,23/04/2004,23:15:16
101,34,23/04/2004,23:19:05
9,8,23/04/2004,23:22:48
36,73,23/04/2004,23:40:11
96,95,23/04/2004,23:51:21
9,76,24/04/2004,00:10:26
9,8,24/04/2004,00:14:15
9,157,24/04/2004,00:28:18
19,158,24/04/2004,00:38:40
9,58,24/04/2004,00:41:14
9,32,24/04/2004,00:46:46
44,129,24/04/2004,01:57:38
105,135,24/04/2004,01:57:59
105,129,24/04/2004,01:59:15
44,129,24/04/2004,02:02:03
44,129,24/04/2004,02:02:56
44,129,24/04/2004,02:03:36
51,101,24/04/2004,02:05:29
1,159,24/04/2004,02:06:05
44,74,24/04/2004,02:31:02
44,129,24/04/2004,02:33:56
160,72,24/04/2004,03:08:19
129,8,24/04/2004,03:22:28
36,147,24/04/2004,03:27:22
36,109,24/04/2004,03:28:31
36,105,24/04/2004,03:29:58
36,129,24/04/2004,03:30:29
9,8,24/04/2004,03:31:04
34,101,24/04/2004,04:33:40
161,162,24/04/2004,04:52:14
163,72,24/04/2004,05:15:26
32,164,24/04/2004,05:31:45
58,8,24/04/2004,05:44:12
32,58,24/04/2004,05:47:03
41,76,24/04/2004,05:52:44
41,120,24/04/2004,05:53:56
41,132,24/04/2004,05:54:32
41,165,24/04/2004,05:55:10
41,166,24/04/2004,05:55:45
41,157,24/04/2004,05:56:04
41,167,24/04/2004,05:56:50
41,168,24/04/2004,05:57:12
41,169,24/04/2004,05:57:28
41,134,24/04/2004,05:57:58
56,68,24/04/2004,05:59:28
41,56,24/04/2004,05:59:53
56,154,24/04/2004,06:00:21
56,170,24/04/2004,06:01:36
56,171,24/04/2004,06:01:54
56,172,24/04/2004,06:02:06
103,101,24/04/2004,06:07:40
51,157,24/04/2004,06:09:25
32,130,24/04/2004,06:11:48
8,58,24/04/2004,06:22:22
8,164,24/04/2004,06:23:55
103,63,24/04/2004,06:36:22
103,173,24/04/2004,06:39:11
67,154,24/04/2004,06:45:41
32,26,24/04/2004,06:54:01
96,163,24/04/2004,07:16:01
9,58,24/04/2004,07:23:56
41,56,24/04/2004,07:24:40
9,20,24/04/2004,07:28:22
9,165,24/04/2004,07:29:03
9,61,24/04/2004,07:31:44
103,109,24/04/2004,07:45:32
32,155,24/04/2004,07:47:33
32,109,24/04/2004,07:48:37
32,174,24/04/2004,07:49:54
175,50,24/04/2004,07:50:21
103,85,24/04/2004,07:58:22
124,109,24/04/2004,07:59:53
164,8,24/04/2004,08:02:52
103,63,24/04/2004,08:10:36
38,128,24/04/2004,08:14:47
103,63,24/04/2004,08:15:10
103,63,24/04/2004,08:16:09
19,109,24/04/2004,08:16:57
103,63,24/04/2004,08:17:57
103,63,24/04/2004,08:19:13
161,164,24/04/2004,08:19:26
161,164,24/04/2004,08:19:28
38,109,24/04/2004,08:20:16
41,63,24/04/2004,08:20:48
103,63,24/04/2004,08:22:16
176,63,24/04/2004,08:22:36
41,63,24/04/2004,08:22:38
176,63,24/04/2004,08:24:10
41,63,24/04/2004,08:24:33
161,63,24/04/2004,08:25:05
103,63,24/04/2004,08:25:11
41,63,24/04/2004,08:25:16
176,63,24/04/2004,08:26:02
41,63,24/04/2004,08:26:05
161,63,24/04/2004,08:26:15
103,63,24/04/2004,08:26:30
32,164,24/04/2004,08:26:32
176,63,24/04/2004,08:26:53
41,63,24/04/2004,08:27:25
176,63,24/04/2004,08:28:23
41,63,24/04/2004,08:28:30
161,63,24/04/2004,08:28:39
103,63,24/04/2004,08:29:05
41,177,24/04/2004,08:29:30
41,177,24/04/2004,08:29:34
164,178,24/04/2004,08:29:56
164,177,24/04/2004,08:30:13
32,175,24/04/2004,08:30:25
32,177,24/04/2004,08:30:41
176,63,24/04/2004,08:31:06
164,179,24/04/2004,08:31:08
41,63,24/04/2004,08:31:46
32,179,24/04/2004,08:32:00
41,63,24/04/2004,08:32:19
41,63,24/04/2004,08:33:56
41,63,24/04/2004,08:34:19
41,63,24/04/2004,08:35:43
161,63,24/04/2004,08:36:10
96,164,24/04/2004,08:38:04
41,63,24/04/2004,08:39:58
41,177,24/04/2004,08:40:55
41,177,24/04/2004,08:41:35
41,63,24/04/2004,08:42:06
41,177,24/04/2004,08:42:31
41,63,24/04/2004,08:43:34
161,63,24/04/2004,08:43:45
32,177,24/04/2004,08:43:49
41,177,24/04/2004,08:43:59
32,177,24/04/2004,08:45:20
41,177,24/04/2004,08:45:24
41,63,24/04/2004,08:45:56
41,180,24/04/2004,08:46:11
32,177,24/04/2004,08:47:34
41,63,24/04/2004,08:47:51
161,63,24/04/2004,08:48:06
41,177,24/04/2004,08:48:10
41,180,24/04/2004,08:48:32
177,32,24/04/2004,08:50:33
41,63,24/04/2004,08:51:08
41,177,24/04/2004,08:51:25
180,177,24/04/2004,08:51:34
180,177,24/04/2004,08:51:41
180,181,24/04/2004,08:52:50
41,177,24/04/2004,08:52:54
180,182,24/04/2004,08:53:44
41,180,24/04/2004,08:55:07
41,90,24/04/2004,08:55:27
41,63,24/04/2004,08:55:57
32,177,24/04/2004,08:56:23
41,180,24/04/2004,08:58:10
41,63,24/04/2004,08:58:33
41,177,24/04/2004,08:58:46
177,180,24/04/2004,08:59:18
177,180,24/04/2004,09:00:22
177,32,24/04/2004,09:01:10
41,180,24/04/2004,09:01:40
41,177,24/04/2004,09:02:35
41,180,24/04/2004,09:02:40
32,177,24/04/2004,09:03:01
41,63,24/04/2004,09:03:07
183,184,24/04/2004,09:04:41
41,63,24/04/2004,09:07:50
177,32,24/04/2004,09:08:34
32,177,24/04/2004,09:09:34
41,177,24/04/2004,09:10:21
177,32,24/04/2004,09:10:44
175,32,24/04/2004,09:11:23
32,177,24/04/2004,09:11:39
32,175,24/04/2004,09:12:09
41,168,24/04/2004,09:13:20
175,32,24/04/2004,09:15:26
41,168,24/04/2004,09:17:17
41,177,24/04/2004,09:17:25
177,32,24/04/2004,09:17:37
63,174,24/04/2004,09:17:59
174,63,24/04/2004,09:18:17
63,174,24/04/2004,09:18:27
174,63,24/04/2004,09:18:56
41,168,24/04/2004,09:19:07
41,177,24/04/2004,09:19:31
32,175,24/04/2004,09:19:50
63,174,24/04/2004,09:20:02
174,63,24/04/2004,09:20:33
41,168,24/04/2004,09:20:38
9,32,24/04/2004,09:21:00
41,177,24/04/2004,09:21:13
63,174,24/04/2004,09:21:16
32,177,24/04/2004,09:21:23
175,32,24/04/2004,09:21:57
32,175,24/04/2004,09:23:31
41,168,24/04/2004,09:24:05
41,177,24/04/2004,09:24:34
41,168,24/04/2004,09:24:44
41,168,24/04/2004,09:24:52
63,155,24/04/2004,09:25:37
174,63,24/04/2004,09:25:49
41,177,24/04/2004,09:26:08
177,32,24/04/2004,09:26:16
41,168,24/04/2004,09:26:23
175,32,24/04/2004,09:26:34
63,174,24/04/2004,09:26:48
174,63,24/04/2004,09:27:52
63,174,24/04/2004,09:28:13
41,168,24/04/2004,09:29:01
41,177,24/04/2004,09:29:23
41,177,24/04/2004,09:29:56
32,175,24/04/2004,09:30:17
41,177,24/04/2004,09:30:18
175,32,24/04/2004,09:33:30
175,32,24/04/2004,09:33:51
32,175,24/04/2004,09:35:10
41,177,24/04/2004,09:36:28
41,168,24/04/2004,09:36:41
174,63,24/04/2004,09:36:45
63,174,24/04/2004,09:37:44
41,168,24/04/2004,09:38:19
41,168,24/04/2004,09:40:00
41,177,24/04/2004,09:40:28
41,168,24/04/2004,09:40:53
41,177,24/04/2004,09:41:16
174,63,24/04/2004,09:41:43
63,174,24/04/2004,09:42:01
41,168,24/04/2004,09:46:53
41,177,24/04/2004,09:47:46
41,177,24/04/2004,09:52:28
41,177,24/04/2004,09:53:00
41,177,24/04/2004,09:58:46
9,32,24/04/2004,09:58:59
41,177,24/04/2004,09:59:01
41,185,24/04/2004,09:59:11
41,168,24/04/2004,09:59:25
185,147,24/04/2004,10:02:06
185,32,24/04/2004,10:04:53
41,185,24/04/2004,10:06:00
41,177,24/04/2004,10:06:17
32,185,24/04/2004,10:08:37
186,185,24/04/2004,10:08:46
140,185,24/04/2004,10:08:54
155,32,24/04/2004,10:08:55
32,155,24/04/2004,10:09:18
185,186,24/04/2004,10:09:51
155,63,24/04/2004,10:10:49
41,177,24/04/2004,10:12:38
103,177,24/04/2004,10:13:29
187,186,24/04/2004,10:15:53
185,97,24/04/2004,10:17:22
103,97,24/04/2004,10:17:57
187,186,24/04/2004,10:18:15
41,185,24/04/2004,10:19:45
41,185,24/04/2004,10:20:07
41,186,24/04/2004,10:20:48
41,185,24/04/2004,10:20:56
41,186,24/04/2004,10:22:09
185,63,24/04/2004,10:25:06
41,168,24/04/2004,10:25:41
187,186,24/04/2004,10:26:51
63,155,24/04/2004,10:28:03
63,185,24/04/2004,10:28:42
103,58,24/04/2004,10:30:18
103,63,24/04/2004,10:31:13
187,186,24/04/2004,10:32:12
103,188,24/04/2004,10:35:36
189,175,24/04/2004,10:35:44
189,175,24/04/2004,10:36:35
140,185,24/04/2004,10:38:12
187,186,24/04/2004,10:38:15
185,109,24/04/2004,10:38:33
140,185,24/04/2004,10:43:33
189,8,24/04/2004,10:52:36
102,97,24/04/2004,10:52:39
140,185,24/04/2004,10:55:02
41,86,24/04/2004,10:57:21
41,188,24/04/2004,11:02:04
101,100,24/04/2004,11:14:01
101,190,24/04/2004,11:24:20
191,175,24/04/2004,11:24:38
101,190,24/04/2004,11:24:41
101,190,24/04/2004,11:25:11
101,190,24/04/2004,11:26:20
101,190,24/04/2004,11:26:42
103,192,24/04/2004,11:27:33
101,190,24/04/2004,11:28:34
101,190,24/04/2004,11:29:15
101,190,24/04/2004,11:29:28
101,190,24/04/2004,11:30:19
101,190,24/04/2004,11:30:44
101,190,24/04/2004,11:30:55
101,190,24/04/2004,11:31:07
101,190,24/04/2004,11:31:13
193,149,24/04/2004,11:31:56
101,100,24/04/2004,11:32:06
193,190,24/04/2004,11:32:48
191,78,24/04/2004,11:33:23
101,190,24/04/2004,11:33:39
101,190,24/04/2004,11:33:47
190,109,24/04/2004,11:34:53
101,190,24/04/2004,11:35:14
193,190,24/04/2004,11:35:40
109,124,24/04/2004,11:40:30
103,109,24/04/2004,11:40:30
103,190,24/04/2004,11:41:55
103,109,24/04/2004,11:45:03
103,109,24/04/2004,11:46:32
41,192,24/04/2004,11:59:49
194,149,24/04/2004,12:18:49
194,195,24/04/2004,12:26:34
176,20,24/04/2004,12:55:59
176,61,24/04/2004,12:56:04
176,149,24/04/2004,12:56:20
176,120,24/04/2004,12:56:25
176,132,24/04/2004,12:56:30
176,86,24/04/2004,12:56:39
176,97,24/04/2004,12:57:03
176,72,24/04/2004,12:57:27
176,58,24/04/2004,12:57:31
176,8,24/04/2004,12:57:36
176,196,24/04/2004,13:00:59
176,197,24/04/2004,13:01:07
176,198,24/04/2004,13:01:11
176,199,24/04/2004,13:01:20
176,200,24/04/2004,13:01:24
176,190,24/04/2004,13:01:28
176,192,24/04/2004,13:01:33
176,201,24/04/2004,13:01:37
176,188,24/04/2004,13:01:41
176,202,24/04/2004,13:01:48
176,185,24/04/2004,13:01:53
176,203,24/04/2004,13:01:58
176,180,24/04/2004,13:02:11
176,181,24/04/2004,13:02:20
176,177,24/04/2004,13:02:25
176,184,24/04/2004,13:02:33
176,175,24/04/2004,13:02:40
176,166,24/04/2004,13:15:12
204,205,24/04/2004,14:35:13
204,104,24/04/2004,14:35:53
204,184,24/04/2004,14:40:36
189,144,24/04/2004,14:49:48
3,185,24/04/2004,19:49:44
3,32,24/04/2004,20:02:42
199,58,24/04/2004,20:04:47
63,185,24/04/2004,20:09:44
63,199,24/04/2004,20:12:25
63,184,24/04/2004,20:13:12
199,101,24/04/2004,20:17:55
194,199,24/04/2004,20:41:12
194,206,24/04/2004,20:42:46
194,207,24/04/2004,20:43:45
204,123,24/04/2004,20:47:07
121,191,24/04/2004,20:49:37
175,191,24/04/2004,20:50:04
204,129,24/04/2004,20:50:25
63,199,24/04/2004,20:51:14
101,184,24/04/2004,20:51:17
101,208,24/04/2004,20:53:00
63,46,24/04/2004,20:54:17
63,199,24/04/2004,21:11:58
101,88,24/04/2004,21:20:56
191,121,24/04/2004,21:32:39
191,175,24/04/2004,21:32:52
103,177,24/04/2004,21:34:21
199,20,24/04/2004,21:36:03
184,101,24/04/2004,21:37:02
103,132,24/04/2004,21:37:50
199,209,24/04/2004,21:42:01
101,184,24/04/2004,21:44:04
36,105,24/04/2004,21:50:06
103,210,24/04/2004,21:50:59
36,209,24/04/2004,21:52:31
184,101,24/04/2004,22:00:57
209,199,24/04/2004,22:03:02
199,209,24/04/2004,22:06:40
199,210,24/04/2004,22:09:23
101,184,24/04/2004,22:14:57
184,101,24/04/2004,22:38:13
176,101,24/04/2004,23:02:17
68,101,24/04/2004,23:09:00
32,198,24/04/2004,23:22:20
211,101,24/04/2004,23:45:58
212,209,24/04/2004,23:46:06
211,213,24/04/2004,23:50:02
211,93,24/04/2004,23:50:25
211,85,24/04/2004,23:51:12
189,199,24/04/2004,23:56:38
214,215,25/04/2004,00:11:09
103,109,25/04/2004,00:11:49
103,215,25/04/2004,00:12:32
103,82,25/04/2004,00:12:53
44,214,25/04/2004,00:13:13
103,215,25/04/2004,00:16:09
63,199,25/04/2004,00:16:11
63,199,25/04/2004,00:16:48
103,215,25/04/2004,00:18:38
103,215,25/04/2004,00:19:03
103,168,25/04/2004,00:20:28
214,109,25/04/2004,00:20:43
215,67,25/04/2004,00:21:43
103,215,25/04/2004,00:22:12
214,215,25/04/2004,00:22:19
41,215,25/04/2004,00:22:24
41,216,25/04/2004,00:22:45
103,127,25/04/2004,00:24:02
215,62,25/04/2004,00:26:47
214,109,25/04/2004,00:28:25
176,217,25/04/2004,00:30:17
176,216,25/04/2004,00:30:39
176,218,25/04/2004,00:33:18
103,109,25/04/2004,00:36:06
219,124,25/04/2004,00:40:49
19,109,25/04/2004,00:42:56
63,127,25/04/2004,00:49:44
88,101,25/04/2004,00:51:53
103,168,25/04/2004,00:54:55
103,56,25/04/2004,00:58:02
63,127,25/04/2004,00:59:53
103,56,25/04/2004,01:00:31
214,56,25/04/2004,01:00:33
